Reviewer Number," Critic","Major (1) or Minor (0)
",Summary in Key words. (mistral)," Answer"," ToDO",
2,In the background section_ there’s a detailed discussion of E2E vs. TBD and how the different algorithms work_ including such details as mentioning reference [20]’s thresholding and Watershed algorithm_ even though this paper’s algorithm does not focus on segmentation. I was not clear to me how these points tie into the main points of the paper_ as they do not come up again in methods or results. Perhaps the background section could be reworked to be more focused on relevant details.,0,Statistical Reporting; Clarification,this section explains detection and segmentation as it is the first step in any TBD pipeline. The segmentations of the 3d data is obtained using thresholding. We also added additional results using automatically generated segmentation masks from cellpose-sam for cell tracking. ,- focus the segmentatio part in background section to the methods used in the paper (thresholding and cellpose-sam),
2,Table 1 compares affine and deformable registrations_ but there is limited discussion of deformable registration before this_ and no discussion of deformable registration in the methods. Given this_ and that the deformable registration categorically performs worse than the affine registration according to this table_ I would drop deformable registration from the manuscript entirely.,0,Visualization Improvement,,- drop deformable registration,
2,The lower end of the range of the accuracy percentages and IDF1 scores mentioned in “Results on S2” do not appear in Table 1_ despite the text stating that they do. Please update.,0,Rewriting; Further Explanation,- this was from a previous version of the manuscript. The number was wrong and this was a mistake....,- This was unintentional from a previous version of the manuscript.,
2,"It’s hard to follow the difference between the linage and tracked images included in “visuals.zip”. It would helpful if the authors could identify what information the reader is supposed to glean from each animation and perhaps include a section of the video where we zoom in on a single cell dividing over time and watch how the lineage vs. track images change over a short period of time in a small ROI. It would also help if we could see these images as part of a tryptic: the original image_ the lineage image_ and the track image all next to one another and moving together in a single video. ",0,Focus Refinement; Rewriting,,-edit the visualizations,
3,The strongest technical contribution is the graph-based conflict resolution that maps conflicting union associations to unique lineage IDs (connected groups)_ addressing splits caused by registration and nearest-neighbor interpolation. Make this the headline novelty and distinguish it from earlier overlap-based trackers.,1,Comparative Analysis; Statistical Reporting,addressed in commment,-rephrase the novelty of the paper with the conflict based graph,
3,You explicitly use binarized ground-truth segmentations as input and note that false positives do not exist in this evaluation. This is fine_ but it must be stated as a limitation. If possible_ add one experiment using automated segmentations to demonstrate robustness to realistic errors.,1,Statistical Reporting; Methodological Justification,,-added experiment using automate cellpose-sam segmentations,
3,You use Greedy registration computed on raw microscopy images and apply transforms to segmentations with nearest-neighbor interpolation_ and you state performance depends strongly on registration accuracy. Please report the key registration settings.,1,Comparative Analysis,,"-the settings are stated in the code repository.
we added the settings for the registration to the appendix",
3,The paper defines positive as no event and negative as event present_ and true/false based on matching the number of children between prediction and ground truth. This is workable_ but the naming is easy to misread. Consider renaming or adding a short explanation up front.,1,Comparative Analysis; Statistical Reporting,,-better explain our metric. explain why we used this metric.,
3,You state cell-tracking data comes from the Cell Tracking Challenge and the beta-amyloid dataset will be available within 12 months. Consider whether you can release a subset or derived artifacts earlier to support reproducibility expectations.,1,Further Explanation; Statistical Reporting,,-this is not possible. ,
4,Statistical Reporting: Please report the standard deviation or variance alongside the mean values for Accuracy and IDF1 in Table 1 to demonstrate the stability of the method across different datasets or ROIs.,1,Rewriting; Clarification,,- do general metics across all datasets,
4,Benchmark Comparison: For improved context and transparency within the Tracking-by-Detection (TBD) paradigm_ the authors should consider including in Table 1 a comparison against a standard_ training-free TBD baseline (e.g._ Hungarian linking or Track Mate)_ instead of restricting the comparison to internal variants.,1,Methodological Justification; Further Explanation,,-added comparison to widely used Trackmate algorithms,
4,"Ground Truth Bias: The evaluation uses binarized ground truth segmentations_ which eliminates segmentation noise inherent in real-world data. Please explicitly discuss this bias and how imperfect input segmentations would affect the ""Union Map"" and conflict resolution steps.",1,Clarification; Statistical Reporting,,-add further explaination when comparing the performance on gt to cellpose tracking,
4,S2 Limitations: Please rewrite the Abstract and Conclusion to explicitly state the limitation that the method cannot handle object disappearance or reappearance in Scenario 2_ as the current claims of robustness are overstated.,1,Clarification; Rewriting,,-tone down statement on robustness. discuss possible extenstion with gap closing mechanism as in lap_tracker,
4,"Registration Dependency: Please explicitly describe potential failure modes of the registration step and how registration errors propagate to downstream lineage tracking_ as the method’s performance depends on the accuracy of the underlying registration algorithm. ",1,Further Explanation; Methodological Justification,,- same as 17,
4,Metric Definition: While the manuscript defines positive and negative cases for the “morphological detection accuracy” metric_ it does not explicitly state how these quantities are combined into a final accuracy. Please provide a formula or equation to clarify this and to support an accurate interpretation of the reported values.,1,Reproducibility,,- provide formula for accuracy (standart formula),
